Company name,CEO,TEL,Address,Category
(유)경천종합건설,"백창태,김현식",041-853-0404,(32545) 충남 공주시 반죽동 94-6,[건축공사업][13-0304][정상]
(유)고려주택개발,이기원,063-263-1078,(54890) 전라북도 전주시 덕진구 덕진동2가 659-8,[건축공사업][14-0871][정상]/[실내건축공사업][전북완주2010-01-01][폐업 : 2011-11-02]/[토공사업][전북전주2001-02-17][자진반납 : 2002-04-08]/[도장ㆍ습식방수ㆍ석공사업][전북96-05-53][정상]/  ㄴ(주력분야:도장공사)/[도장공사업][전북96-05-53][대업종전환]/[조적공사업][전북06-5][자진반납 : 2003-08-29]/[철근ㆍ콘크리트공사업][전북98-10-749][자진반납 : 2003-04-08]/[시설물유지관리업][전북완주2011-29-02][정상]/[습식ㆍ방수공사업][전북전주2002-03-2][폐업 : 2015-07-02]
(유)관포건설,이제형,063-225-1147,(55105) 전라북도 전주시 완산구 효자동1가 691-6 1층,[건축공사업][14-0610][정상]
(유)광덕종합건설,유종옥,063-636-0415,(55763) 전라북도 남원시 하정동 107-2,[토목공사업][14-0505][정상]/[건축공사업][14-0368][정상]
(유)구글건설,송영미,063-911-6662,(54009) 전라북도 군산시 소룡동 732-2 신도시상가 301호,[건축공사업][14-0893][정상]/[금속창호ㆍ지붕건축물조립공사업][전북군산2009-07-01][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[철근ㆍ콘크리트공사업][전북군산2006-10-05][폐업 : 2012-12-28]/[시설물유지관리업][전북군산 2008-29-02][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북군산2009-07-01][대업종전환]
(유)구룡건설,이병관,063-236-0412,"(54978) 전라북도 전주시 완산구 중화산동2가 406-15, 2층",[건축공사업][14-0327][정상]
(유)국건종합건설,편미아,061-682-2470,(59644) 전남 여수시 선원동 1350-7,[건축공사업][150544][정상]/[지반조성ㆍ포장공사업][여수 2008-02-05][정상]/  ㄴ(주력분야:토공사)/[토공사업][여수 2008-02-05][대업종전환]/[철근ㆍ콘크리트공사업][여수 2008-09-05][폐업 : 2011-11-15]
(유)궁전건설,김형영,063-532-0483,(56433) 전라북도 고창군 고창읍 읍내리 650-7 3층,[건축공사업][14-0861][정상]/[시설물유지관리업][전북정읍 제07-29-02][정상]
(유)그랜드건설,박정순,063-228-0433,"(55753) 전라북도 남원시 도통동 144 ,부영아파트 상가동 205호",[토목공사업][14-0364][정상]/[건축공사업][14-0523][정상]/[조경공사업][14-0001][정상]
(유)글로벌건설,소영미,010-4040-****,(55902) 전라북도 임실군 신덕면 수천리 128,[건축공사업][14-0897][정상]/[시설물유지관리업][전북임실2020-29-02][정상]
(유)금강종합건설,김병학,063-452-2796,(55033) 전라북도 전주시 완산구 남노송동 175-85,[토목공사업][14-0266][등록말소 : 2012-01-16]/[토목공사업][14-0548][정상]/[건축공사업][14-0121][정상]/[석공사업][전북익산2012-04-10][폐업 : 2012-12-28]/[시설물유지관리업][전북익산2012-29-02][정상]
(유)금당건설,성영숙,063-276-9752,"(54908) 전라북도 전주시 덕진구 우아동3가 743-14 ,2층(우아동3가)",[건축공사업][14-0742][정상]/[실내건축공사업][전북전주2021-1-15][대업종전환]/[실내건축공사업][전북전주2008-01-5][폐업 : 2011-10-11]/[실내건축공사업][전북전주2021-1-15][정상]/  ㄴ(주력분야:실내건축공사)/[시설물유지관리업][전북익산2011-29-25][정상]
(유)금종,김종천,070-4248-5172,(55715) 전라북도 남원시 인월면 서무리 670,[건축공사업][14-0838][정상]/[금속창호ㆍ지붕건축물조립공사업][전북남원 2013-07-02][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[시설물유지관리업][전북남원 2016-29-02][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북남원 2013-07-02][대업종전환]
(유)기반종합건설,이백섭,061-746-3500,(58005) 전라남도 순천시 해룡면 상삼리 205-3,[토목공사업][150149][정상]/[건축공사업][150785][정상]/[시설물유지관리업][목포99-29-03][자진반납 : 2000-05-26]
(유)나도건설,박성은,063-465-5231,(54075) 전라북도 군산시 조촌동 739-61,[건축공사업][14-0756][정상]/[실내건축공사업][전북군산201801-07][대업종전환]/[실내건축공사업][전북군산201801-07][정상]/  ㄴ(주력분야:실내건축공사)/[시설물유지관리업][전북군산2013-29-01][정상]
(유)나린종합건설,김영진,033-463-8814,(24612) 강원도 인제군 북면 원통리 748-1,[토목공사업][13-0411][정상]/[건축공사업][11-0552][정상]/[시설물유지관리업][춘천2016-29-07][정상]
(유)남원조립식건축,박승민,063-632-4558,(55762) 전라북도 남원시 동충동 193-2,"[건축공사업][14-0753][정상]/[금속창호ㆍ지붕건축물조립공사업][전북남원06-08-01][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사,지붕판금ㆍ건축물조립공사)/[도장공사업][전북남원 2014-05-02][폐업 : 2019-10-29]/[철근ㆍ콘크리트공사업][전북남원 2019-09-10][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[철근ㆍ콘크리트공사업][남원07-10-01][폐업 : 2013-11-07]/[철근ㆍ콘크리트공사업][전북남원 2019-09-10][대업종전환]/[시설물유지관리업][전북남원 2019-29-02][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북남원06-08-01][대업종전환]"
(유)다림건설,오승엽,063-244-4325,(55028) 전라북도 전주시 덕진구 우아동1가 1102-3,[건축공사업][14-0816][정상]/[도장ㆍ습식방수ㆍ석공사업][전북97-03-50][정상]/  ㄴ(주력분야:습식ㆍ방수공사)/[철근ㆍ콘크리트공사업][전북전주99-10-08][자진반납 : 2002-11-27]/[시설물유지관리업][전북전주2001-29-7][정상]/[습식ㆍ방수공사업][전북97-03-50][대업종전환]
(유)다미종합건설,"백초원,문정의",061-262-3222,(58828) 전라남도 신안군 자은면 한운리 671-1,[토목공사업][150714][정상]/[건축공사업][151084][정상]/[시설물유지관리업][신안2013-29-04][정상]
(유)다산건축,이미진,063-236-5557,"(55134) 전라북도 전주시 완산구 평화동1가 703-7 , 1층(평화동1가)",[건축공사업][14-0670][정상]
(유)다산실업,이복재,062-945-2251,(58120) 전라남도 화순군 화순읍 교리 221-3,[건축공사업][151095][정상]/[금속창호ㆍ지붕건축물조립공사업][전남제08-53호][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[창호공사업][전남08-53][자진반납 : 2003-12-17]/[철물공사업][전남화순99-11-07][자진반납 : 2003-12-17]/[시설물유지관리업][전남화순 2010-29-03][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전남제08-53호][대업종전환]
(유)대광건설산업,김종옥,063-471-1544,(54160) 전라북도 군산시 산북동 1325-1,"[건축공사업][14-0746][정상]/[미장ㆍ방수공사업][전북군산2001-03-09][대업종전환]/[금속창호ㆍ지붕건축물조립공사업][전북군산2008-08-01][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[도장ㆍ습식방수ㆍ석공사업][전북군산2001-05-01][정상]/  ㄴ(주력분야:도장공사,습식ㆍ방수공사)/[도장공사업][전북군산2001-05-01][대업종전환]/[비계ㆍ구조물해체공사업][전북군산2018-06-02][대업종전환]/[구조물해체ㆍ비계공사업][전북군산2018-06-02][정상]/  ㄴ(주력분야:구조물해체ㆍ비계공사)/[시설물유지관리업][전북군산 2005-33-01][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북군산2008-08-01][대업종전환]"
(유)대덕건설,송종대,063-545-4460,(54370) 전라북도 김제시 서암동 518-1,[토목공사업][14-0609][정상]/[건축공사업][14-0636][정상]
(유)대명종합건설,박희천,063-452-7759,(54068) 전북 군산시 사정동 498-4,[건축공사업][14-0712][정상]/[건축공사업][14-0476][폐업 : 2015-05-26]/[실내건축공사업][전북군산 2015-01-01][대업종전환]/[실내건축공사업][전북군산 2015-01-01][등록말소 : 2022-02-15]/  ㄴ(주력분야:실내건축공사)/[금속창호ㆍ지붕건축물조립공사업][전북군산2019-07-02][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[도장ㆍ습식방수ㆍ석공사업][전북군산2004-05-01][정상]/  ㄴ(주력분야:도장공사)/[도장공사업][전북군산2004-05-01][대업종전환]/[비계ㆍ구조물해체공사업][전북군산2011-06-02][폐업 : 2011-06-15]/[기계설비공사업][전북군산2009-10-05][폐업 : 2010-04-01]/[시설물유지관리업][전북군산2005-33-04][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북군산2019-07-02][대업종전환]
(유)대산강건,김명식,063-832-3459,(54672) 전라북도 익산시 목천동 1303-4,[건축공사업][14-0714][정상]/[금속창호ㆍ지붕건축물조립공사업][전북익산2004-08-14][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[시설물유지관리업][전북익산2009-29-13][정상]/[습식ㆍ방수공사업][전북익산2011-03-20][폐업 : 2017-02-03]/[금속구조물ㆍ창호ㆍ온실공사업][전북익산2004-08-14][대업종전환]
(유)대성건설산업,김정호,063-452-4560,"(54818) 전라북도 전주시 덕진구 산정동 143 ,2층",[건축공사업][14-0853][정상]/[금속창호ㆍ지붕건축물조립공사업][전북97-08-84][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[도장ㆍ습식방수ㆍ석공사업][전북전주2009-05-1][정상]/  ㄴ(주력분야:도장공사)/[도장공사업][전북전주2009-05-1][대업종전환]/[철물공사업][전북97-11-89][자진반납 : 2003-09-01]/[시설물유지관리업][전북군산2012-29-01][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북97-08-84][대업종전환]
(유)대성서울건설,배상규,02-957-0725,(02784) 서울 성북구 석관동 199-17,[건축공사업][01-0159][정상]
(유)대성종합개발,박정심,063-251-9446,"(56306) 전라북도 부안군 부안읍 동중리 106 ,상가동 104호(상원아파트)",[토목건축공사업][1952][폐업 : 2022-01-28]/[토목공사업][14-0777][정상]/[건축공사업][14-0885][정상]/[조경공사업][14-0021][정상]/[산업ㆍ환경설비공사업][16-0045][폐업 : 2014-02-17]/[시설물유지관리업][경북구미 2009-29-05][정상]
(유)대송종합건설,한희정,063-246-3168,"(55079) 전라북도 전주시 완산구 삼천동2가 763 ,503호(삼천동2가)",[토목공사업][14-0763][정상]/[건축공사업][14-0891][정상]/[실내건축공사업][전북전주2020-1-6][폐업 : 2021-12-28]/[석공사업][남원2010-04-01][폐업 : 2012-04-17]/[도장공사업][전북남원 2016-05-01][폐업 : 2017-01-05]/[철근ㆍ콘크리트공사업][전북남원04-10-08][폐업 : 2012-06-01]/[상ㆍ하수도설비공사업][전북임실2017-11-01][폐업 : 2021-12-28]/[포장공사업][전북남원2012-14-01][폐업 : 2021-12-28]/[시설물유지관리업][전북남원2011-29-05][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북전주2020-7-2][폐업 : 2021-12-28]
(유)대승산업개발,경정훈,063-284-2744,(55047) 전라북도 전주시 완산구 서완산동1가 554， 1호,[건축공사업][14-0757][정상]/[실내건축공사업][전북전주2020-1-7][대업종전환]/[실내건축공사업][전북전주2020-1-7][정상]/  ㄴ(주력분야:실내건축공사)/[금속창호ㆍ지붕건축물조립공사업][전북전주2013-7-7][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[시설물유지관리업][전북전주2019-29-1][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북전주2013-7-7][대업종전환]
(유)대승산업건설,김효순,063-632-1812,(55762) 전북 남원시 동충동 195-3,[건축공사업][14-0752][정상]/[철근ㆍ콘크리트공사업][전북남원 2016-09-01][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[철근ㆍ콘크리트공사업][전북남원 2016-09-01][대업종전환]/[철근ㆍ콘크리트공사업][전북남원08-10-02][폐업 : 2013-12-31]/[시설물유지관리업][전북남원 2008-29-02][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북남원05-08-03][폐업 : 2013-12-31]
(유)대양씨앤씨,이효실,055-298-9556,(51200) 경남 창원시 의창구 소답동 140-16,"[건축공사업][17-1145][정상]/[미장ㆍ방수공사업][창원99-03-05][대업종전환]/[도장ㆍ습식방수ㆍ석공사업][창원99-03-05][정상]/  ㄴ(주력분야:도장공사,습식ㆍ방수공사)/[도장공사업][경남94-05-16][대업종전환]/[시설물유지관리업][창원2007-29-02][폐업 : 2010-05-12]/[시설물유지관리업][창원2010-29-08][정상]"
(유)대영건설,유희재,063-563-3990,(56432) 전라북도 고창군 고창읍 읍내리 616-36,[건축공사업][14-0887][정상]/[금속창호ㆍ지붕건축물조립공사업][전북고창 2014-08-12][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[시설물유지관리업][전북고창2016-29-13][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북고창 2014-08-12][대업종전환]
(유)대정토건,정용희,061-852-3120,(59464) 전라남도 보성군 보성읍 주봉리 535-13,"[건축공사업][151195][정상]/[지반조성ㆍ포장공사업][전남보성 2013-02-01][정상]/  ㄴ(주력분야:토공사,포장공사)/[토공사업][전남보성 2013-02-01][대업종전환]/[철근ㆍ콘크리트공사업][전남보성2007-10-9][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[상ㆍ하수도설비공사업][전남화순2010-11-01][정상]/  ㄴ(주력분야:상ㆍ하수도설비공사)/[철근ㆍ콘크리트공사업][전남보성2007-10-9][대업종전환]/[상ㆍ하수도설비공사업][전남화순2010-11-01][대업종전환]/[포장공사업][전남보성2020-14-03][대업종전환]/[시설물유지관리업][대전유성2016-29-1][정상]"
(유)대현기업,강명식,061-683-0934,(59657) 전라남도 여수시 화양면 용주리 1525-1,[건축공사업][151199][정상]/[지반조성ㆍ포장공사업][여수2020-14-02][정상]/  ㄴ(주력분야:포장공사)/[상ㆍ하수도설비공사업][여수 2008-11-01][정상]/  ㄴ(주력분야:상ㆍ하수도설비공사)/[기계설비공사업][여수 99-12-05][대업종전환]/[상ㆍ하수도설비공사업][여수 2008-11-01][대업종전환]/[기계가스설비공사업][여수 99-12-05][정상]/  ㄴ(주력분야:기계설비공사)/[포장공사업][여수2020-14-02][대업종전환]/[시설물유지관리업][여수2006-29-02][정상]
(유)대현아이앤이,이영덕,063-841-4268,(54595) 전라북도 익산시 남중동 102-11,[건축공사업][14-0788][정상]/[실내건축공사업][전북익산99-01-01][대업종전환]/[토공사업][전북익산99-02-05][자진반납 : 2002-05-21]/[실내건축공사업][전북익산99-01-01][정상]/  ㄴ(주력분야:실내건축공사)/[철근ㆍ콘크리트공사업][전북익산99-10-09][폐업 : 2013-12-19]/[시설물유지관리업][전북익산2002-29-04][폐업 : 2015-12-30]/[시설물유지관리업][전북익산2016-29-18][정상]
(유)더번영건설,류상욱,063-832-6607,(54320) 전라북도 김제시 공덕면 동계리 714-2 1층,[건축공사업][14-0748][정상]/[지반조성ㆍ포장공사업][완주2005-02-03][정상]/  ㄴ(주력분야:토공사)/[토공사업][완주2005-02-03][대업종전환]/[철근ㆍ콘크리트공사업][완주2005-10-03][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[상ㆍ하수도설비공사업][완주2005-13-02][정상]/  ㄴ(주력분야:상ㆍ하수도설비공사)/[철근ㆍ콘크리트공사업][완주2005-10-03][대업종전환]/[상ㆍ하수도설비공사업][완주2005-13-02][대업종전환]/[시설물유지관리업][완주2005-29-01][정상]
(유)도강건설,국태영,063-282-0192,(55641) 전라북도 장수군 장수읍 송천리 1097-8,[토목공사업][14-0258][정상]/[건축공사업][14-0589][정상]
(유)도담,백영주,063-904-2400,(55779) 전라북도 남원시 대산면 수덕리 산67-3,[건축공사업][14-0874][정상]/[기계설비공사업][전북전주2016-10-2][대업종전환]/[기계가스설비공사업][전북전주2016-10-2][정상]/  ㄴ(주력분야:기계설비공사)/[시설물유지관리업][전북전주2016-29-15][정상]
(유)도담종합건설,최진환,063-904-2300,(54076) 전라북도 군산시 조촌동 848-7 2층,[건축공사업][14-0704][정상]
(유)도예종합건설,김원봉,033-462-0451,(24625) 강원도 인제군 인제읍 남북리 828-7,[토목공사업][150376][정상]/[건축공사업][11-0305][정상]/[석공사업][인제2017-04-01][대업종전환]/[도장ㆍ습식방수ㆍ석공사업][인제2017-04-01][정상]/  ㄴ(주력분야:석공사)/[철근ㆍ콘크리트공사업][인제2017-09-01][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[철근ㆍ콘크리트공사업][인제2017-09-01][대업종전환]
(유)도완건설,국중복,063-353-0193,(55641) 전라북도 장수군 장수읍 송천리 1097-8,[토목건축공사업][14-0080][폐업 : 2011-05-18]/[토목공사업][14-0510][정상]/[토목공사업][05-0087][자진반납 : 2003-10-14]/[건축공사업][14-0392][정상]
(유)도우종합건설,이공희,063-271-7320,"(54939) 전라북도 전주시 덕진구 진북동 417-195 , 화인빌딩 4층",[건축공사업][14-0197][정상]
(유)도인건설,최도홍,063-632-9612,(55736) 전라북도 남원시 도통동 43-8,[건축공사업][14-0877][정상]/[지반조성ㆍ포장공사업][전북남원07-16-04][정상]/  ㄴ(주력분야:포장공사)/[토공사업][광산2000-02-14][폐업 : 2015-06-22]/[철근ㆍ콘크리트공사업][광산2000-10-20][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[상ㆍ하수도설비공사업][광산2000-13-11][정상]/  ㄴ(주력분야:상ㆍ하수도설비공사)/[철근ㆍ콘크리트공사업][광산2000-10-20][대업종전환]/[상ㆍ하수도설비공사업][광산2000-13-11][대업종전환]/[포장공사업][전북남원07-16-04][대업종전환]/[시설물유지관리업][전북남원2001-29-02][정상]
(유)동광건설,조운철,063-626-9964,(55801) 전라북도 남원시 노암동 853-2,"[건축공사업][14-0745][정상]/[금속창호ㆍ지붕건축물조립공사업][남원2010-07-02][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[도장ㆍ습식방수ㆍ석공사업][남원2010-03-01][정상]/  ㄴ(주력분야:도장공사,습식ㆍ방수공사)/[도장공사업][전북남원 2020-05-01][대업종전환]/[기계설비공사업][전북남원 2020-10-01][대업종전환]/[기계가스설비공사업][전북남원 2020-10-01][정상]/  ㄴ(주력분야:기계설비공사)/[시설물유지관리업][전북남원2008-29-03][정상]/[습식ㆍ방수공사업][남원2010-03-01][대업종전환]/[금속구조물ㆍ창호ㆍ온실공사업][남원2010-07-02][대업종전환]"
(유)동덕개발,김현준,063-242-0523,"(55124) 전라북도 전주시 완산구 평화동2가 874-5 ,제2층 제201호(평화동2가)",[건축공사업][14-0821][정상]/[실내건축공사업][전북전주2004-01-1][대업종전환]/[실내건축공사업][전북전주2004-01-1][정상]/  ㄴ(주력분야:실내건축공사)/[금속창호ㆍ지붕건축물조립공사업][전북전주2000-11-09][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[상ㆍ하수도설비공사업][전북13-76][정상]/  ㄴ(주력분야:상ㆍ하수도설비공사)/[철근ㆍ콘크리트공사업][전북10-263][폐업 : 2019-05-28]/[철물공사업][전북전주2000-11-09][폐업 : 2008-01-09]/[상ㆍ하수도설비공사업][전북13-76][대업종전환]/[시설물유지관리업][전북전주2000-29-03][정상]/[금속구조물ㆍ창호ㆍ온실공사업][전북전주2000-11-09][대업종전환]
(유)동명건설,박정은,061-333-8874,(58307) 전라남도 나주시 봉황면 황용리 210,[건축공사업][150581][정상]
(유)동신,김신영,063-271-8205,"(54887) 전라북도 전주시 덕진구 덕진동2가 356 ,1층(덕진동2가)",[건축공사업][14-0830][정상]/[시설물유지관리업][전북전주2011-29-2][정상]
(유)동신종합건설,"김근수,김영곤",061-284-0048,(58684) 전라남도 목포시 옥암동 987-2， 3층,[건축공사업][150099][정상]
(유)동아종합건설,배은숙,063-544-6611,(54362) 전라북도 김제시 신풍동 281-1,[토목공사업][14-0417][정상]/[건축공사업][14-0289][정상]/[조경공사업][14-0128][정상]
(유)동운종합건설,소만호,063-236-2570,(55124) 전라북도 전주시 완산구 평화동2가 230-115,[토목공사업][14-0556][정상]/[건축공사업][14-0332][정상]
(유)동주종합건설,이철승,063-262-0318,(55318) 전북 완주군 봉동읍 둔산리 924-3,[건축공사업][14-0564][정상]/[시설물유지관리업][전북완주2010-29-02][정상]
(유)동학건설,이경숙,063-232-0160,(55033) 전라북도 전주시 완산구 남노송동 175-49,[건축공사업][14-0846][정상]/[도장ㆍ습식방수ㆍ석공사업][전북전주2011-3-3][정상]/  ㄴ(주력분야:습식ㆍ방수공사)/[시설물유지관리업][전북전주2010-29-3][정상]/[습식ㆍ방수공사업][전북전주2011-3-3][대업종전환]
(유)라일종합건설,공은태,063-633-8491,(55727) 전라북도 남원시 광치동 216-5,[건축공사업][14-0584][정상]
(유)로고스,서정현,041-733-7643,(32984) 충청남도 논산시 취암동 32,[토목공사업][13-0527][정상]/[건축공사업][14-0357][정상]/[시설물유지관리업][충남논산2017-29-02][정상]
(유)만도건설,이문자,063-242-0789,(55350) 전라북도 완주군 용진면 신지리 1135-12,[토목공사업][14-0377][정상]/[건축공사업][14-0375][정상]
(유)만우종합건설,배은숙,063-583-7863,(56308) 전북 부안군 부안읍 번영로 145， 302호(새만금빌딩),[건축공사업][14-0770][정상]/[금속창호ㆍ지붕건축물조립공사업][전북부안2015-07-08][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[도장ㆍ습식방수ㆍ석공사업][전북 부안 2019-03-02][정상]/  ㄴ(주력분야:습식ㆍ방수공사)/[철근ㆍ콘크리트공사업][전북2002-10-01호][정상]/  ㄴ(주력분야:철근ㆍ콘크리트공사)/[철근ㆍ콘크리트공사업][전북2002-10-01호][대업종전환]/[상ㆍ하수도설비공사업][전북2002-13-01호][폐업 : 2015-09-11]/[시설물유지관리업][전북2001-29-1호][정상]/[습식ㆍ방수공사업][전북 부안 2019-03-02][대업종전환]/[금속구조물ㆍ창호ㆍ온실공사업][전북부안2015-07-08][대업종전환]
(유)메이저건설,김창식,063-212-7783,"(54860) 전라북도 전주시 덕진구 만성동 1360-5 , 302호",[토목공사업][14-0272][폐업 : 2015-12-30]/[건축공사업][14-0516][정상]
(유)명광종합건설,김성광,063-245-0930,"(55013) 전라북도 전주시 덕진구 인후동1가 404-3 (인후동1가, 한돌빌딩2층)",[토목공사업][14-0206][자진반납 : 2002-03-23]/[건축공사업][14-0095][정상]/[시설물유지관리업][전북전주2013-29-2][정상]
(유)명지건설,김영필,062-945-9928,(61666) 광주광역시 남구 방림동 377-5,[건축공사업][05-0512][정상]
(유)목원건설산업,김지수,061-284-6356,(58693) 전라남도 목포시 상동 1021-2,[건축공사업][151027][정상]/[시설물유지관리업][목포2020-29-13][정상]
(유)무왕건설,이홍무,063-832-9500,(54609) 전라북도 익산시 동산동 1045-7,[건축공사업][14-0439][정상]/[금속창호ㆍ지붕건축물조립공사업][전북익산97-08-07][정상]/  ㄴ(주력분야:금속구조물ㆍ창호ㆍ온실공사)/[창호공사업][전북97-11-87][폐업 : 2005-10-28]/[철근ㆍ콘크리트공사업][전북97-10-556][폐업 : 2012-12-13]/[금속구조물ㆍ창호ㆍ온실공사업][전북익산97-08-07][대업종전환]
(유)미우건설,김미라,063-242-2937,"(55008) 전라북도 전주시 덕진구 인후동1가 435-31 , 1층(인후동1가)",[건축공사업][14-0800][정상]/[시설물유지관리업][전북전주2018-29-3][정상]
(유)미주건설,윤성문,061-275-2231,(58851) 전라남도 신안군 도초면 수항리 1480-58,[건축공사업][151165][정상]/[시설물유지관리업][신안2017-29-02][정상]
(유)백동건설,안수현,063-271-6102,(55365) 전라북도 완주군 이서면 갈산리 662-4 701호,[건축공사업][14-0666][정상]/[도장공사업][전북남원07-05-02][폐업 : 2020-05-26]/[시설물유지관리업][전북남원07-29-02][정상]
(유)백상,박신태,063-236-0431,"(56115) 전라북도 정읍시 태인면 태성리 566-26 , 2층",[토목공사업][전북제14-0465][정상]/[건축공사업][14-0437][정상]
(유)부경산업개발,안후성,031-422-9172,(13951) 경기도 안양시 동안구 관양동 1496-23,[건축공사업][14-0081][정상]
(유)부림개발,서정자,054-821-8997,(36826) 경상북도 예천군 예천읍 대심리 752-2,[건축공사업][16-0897][정상]/[철근ㆍ콘크리트공사업][전북임실2007-10-03][폐업 : 2015-08-28]/[시설물유지관리업][경북예천2015-29-02][정상]
(유)삼국건설,백연기,063-285-9494,(55144) 전라북도 전주시 완산구 중인동 829-2,[건축공사업][14-0725][정상]/[도장ㆍ습식방수ㆍ석공사업][전북전주99-03-10][정상]/  ㄴ(주력분야:습식ㆍ방수공사)/[철근ㆍ콘크리트공사업][전북전주2000-10-07][폐업 : 2010-09-13]/[시설물유지관리업][전북전주2007-29-9][정상]/[습식ㆍ방수공사업][전북전주99-03-10][대업종전환]
